V[V],sigma_V[V],I[muA],sigma_I[muA]
0.113,0.001,0,0.1
0.218,0.001,0,0.1
0.327,0.001,0,0.1
0.404,0.001,3.2,0.1
0.432,0.001,6.8,0.1
0.458,0.001,14.6,0.1
0.536,0.001,133,2
0.593,0.001,550,5
0.612,0.001,935,5
0.624,0.001,1260,10
0.637,0.001,1700,10
0.650,0.001,2380,10
0.667,0.001,3520,10
0.681,0.001,5130,10
0.698,0.001,7700,20
0.712,0.001,11270,20
0.728,0.001,15760,20
0.735,0.001,20000,50
0.744,0.001,24100,50
0.754,0.001,32100,50
0.765,0.001,43650,50
0.771,0.001,51500,50
0.782,0.001,66200,150
0.791,0.001,83700,500
0.804,0.001,112000,1000
0.848,0.001,335000,1000
0.863,0.001,369000,1000
0.879,0.001,527000,1000