t,V,t_err,V_err
5.3e-06,0.019555555555555562,1.0677078252031313e-06,0.008332941167242935
8.900000000000003e-06,0.0468888888888889,1.0677078252031313e-06,0.00918367406221746
1.2499999999999999e-05,0.0728888888888889,1.067707825203131e-06,0.007458819405784309
1.61e-05,0.09466666666666668,1.0677078252031309e-06,0.0065798265666397945
1.9699999999999998e-05,0.11533333333333334,1.067707825203131e-06,0.0055306631875497204
2.3300000000000004e-05,0.13222222222222224,1.0677078252031313e-06,0.005035819409409262
2.69e-05,0.14422222222222225,1.0677078252031313e-06,0.002901430794210803
3.05e-05,0.15311111111111111,1.0677078252031309e-06,0.002676452632274756
3.4099999999999995e-05,0.15666666666666668,1.0677078252031313e-06,0.0031436209919735057
3.77e-05,0.15866666666666668,1.0677078252031313e-06,0.0019402850002906654
4.1299999999999994e-05,0.1548888888888889,1.0677078252031309e-06,0.0018435543958499087
4.490000000000001e-05,0.15000000000000002,1.0677078252031315e-06,0.0034299717028501795
4.85e-05,0.1406666666666667,1.0677078252031315e-06,0.004601789933084214
5.21e-05,0.12711111111111112,1.0677078252031315e-06,0.00486147991131349
5.57e-05,0.114,1.0677078252031313e-06,0.005179143694836503
5.9300000000000005e-05,0.09622222222222224,1.067707825203131e-06,0.005734883511361751
6.290000000000001e-05,0.07800000000000001,1.0677078252031306e-06,0.005698296959205805
6.649999999999999e-05,0.058222222222222224,1.0677078252031313e-06,0.006169713078995181
7.01e-05,0.03777777777777778,1.0677078252031313e-06,0.006320420272284166
7.37e-05,0.01866666666666667,1.0677078252031306e-06,0.005313689313240571
7.730000000000001e-05,-0.0006666666666666666,1.0677078252031313e-06,0.005179143694836503
8.09e-05,-0.019555555555555562,1.0677078252031309e-06,0.00580286158842162
8.45e-05,-0.03622222222222223,1.0677078252031315e-06,0.005568351277327285
8.809999999999999e-05,-0.05288888888888889,1.0677078252031306e-06,0.0052343760669689675
9.17e-05,-0.06711111111111112,1.0677078252031302e-06,0.0037712361663282514
9.53e-05,-0.08000000000000002,1.0677078252031309e-06,0.0038805700005813313
9.89e-05,-0.08822222222222223,1.067707825203131e-06,0.0032094631318604103
0.0001025,-0.0957777777777778,1.0677078252031315e-06,0.0034904163843226116
0.00010609999999999999,-0.1017777777777778,1.0677078252031313e-06,0.002045239970259649
0.0001097,-0.10533333333333333,1.0677078252031313e-06,0.0019402850002906654
0.00011329999999999999,-0.10555555555555557,1.0677078252031317e-06,0.0020065253028182027
0.00011690000000000001,-0.10244444444444446,1.0677078252031313e-06,0.0024307399556567385
0.0001205,-0.0988888888888889,1.0677078252031302e-06,0.0018435543958499087
0.0001241,-0.09222222222222223,1.0677078252031306e-06,0.0032094631318604146
0.00012770000000000001,-0.08444444444444445,1.0677078252031298e-06,0.003033581114637443
0.0001313,-0.07511111111111113,1.0677078252031306e-06,0.0037712361663282553
0.0001349,-0.0648888888888889,1.067707825203133e-06,0.003512815008087641
0.0001385,-0.05222222222222223,1.0677078252031313e-06,0.003750381244236935
0.00014209999999999998,-0.04044444444444444,1.0677078252031298e-06,0.004090479940519309
0.00014570000000000002,-0.02666666666666667,1.06770782520313e-06,0.004338609156373123
0.0001493,-0.015111111111111112,1.0677078252031323e-06,0.004241099869677106
0.00015289999999999998,-0.002666666666666666,1.0677078252031323e-06,0.004550371671956169
0.0001565,0.009333333333333336,1.06770782520313e-06,0.003880570000581328
0.0001601,0.020000000000000004,1.0677078252031298e-06,0.0033606722016672236
0.00016370000000000002,0.031111111111111114,1.067707825203131e-06,0.0037712361663282527
0.0001673,0.03955555555555556,1.067707825203133e-06,0.0036010165594506653
0.0001709,0.04666666666666667,1.0677078252031306e-06,0.003067859955389482
0.0001745,0.05222222222222223,1.0677078252031298e-06,0.0021572192218784424
0.00017809999999999997,0.057555555555555554,1.0677078252031306e-06,0.002430739955656742
0.00018170000000000003,0.060666666666666674,1.0677078252031323e-06,0.0015339299776947423
0.0001853,0.061777777777777786,1.0677078252031313e-06,0.002045239970259656
0.00018889999999999998,0.06333333333333334,1.06770782520313e-06,0.0015339299776947423
0.00019250000000000002,0.060444444444444446,1.06770782520313e-06,0.00233193235252055
0.0001961,0.05866666666666667,1.0677078252031332e-06,0.0019402850002906624
0.0001997,0.053777777777777785,1.0677078252031323e-06,0.0024627950538207983
0.00020329999999999998,0.04911111111111112,1.067707825203132e-06,0.0026764526322747527
0.0002069,0.042444444444444444,1.0677078252031298e-06,0.002430739955656742
0.00021050000000000002,0.03444444444444445,1.067707825203131e-06,0.002430739955656741
0.00021409999999999997,0.02755555555555556,1.0677078252031304e-06,0.0027055981663780923
0.00021770000000000003,0.01888888888888889,1.067707825203131e-06,0.003579169947954395
0.00022129999999999999,0.012000000000000002,1.0677078252031298e-06,0.0038805700005813274
0.0002249,0.004222222222222223,1.067707825203132e-06,0.0032094631318604116
0.00022850000000000002,-0.003777777777777778,1.0677078252031323e-06,0.003490416384322609
0.00023209999999999998,-0.012000000000000002,1.0677078252031332e-06,0.0023763541031440183
0.0002357,-0.019111111111111117,1.06770782520313e-06,0.0025870466670542182
0.00023930000000000002,-0.02488888888888889,1.06770782520313e-06,0.002193275522213265
0.0002429,-0.030222222222222223,1.0677078252031283e-06,0.002462795053820797
0.0002465,-0.03488888888888889,1.067707825203133e-06,0.0026764526322747527
0.0002501,-0.03911111111111111,1.067707825203128e-06,0.002193275522213266
0.0002537,-0.042444444444444444,1.0677078252031306e-06,0.0020065253028181992
0.0002573,-0.04466666666666667,1.0677078252031332e-06,0.0020579830217101066
0.0002609,-0.044444444444444446,1.0677078252031268e-06,0.0018856180831641274
0.00026450000000000003,-0.04466666666666667,1.0677078252031332e-06,0.001533929977694742
0.0002681,-0.04288888888888889,1.0677078252031306e-06,0.0022980525998405653
0.0002717,-0.04133333333333333,1.0677078252031326e-06,0.0027439773622801402
0.0002753,-0.03888888888888889,1.0677078252031332e-06,0.003305768378934525
0.0002789,-0.03422222222222223,1.0677078252031268e-06,0.0020452399702596525
0.0002825,-0.030222222222222223,1.0677078252031342e-06,0.0020452399702596546
0.0002861,-0.026222222222222227,1.0677078252031342e-06,0.002462795053820797
0.0002897,-0.021777777777777778,1.067707825203128e-06,0.002462795053820797
0.00029330000000000003,-0.017111111111111115,1.067707825203133e-06,0.0022980525998405666
0.0002969,-0.012000000000000002,1.067707825203128e-06,0.001940285000290664
0.0003005,-0.005777777777777778,1.0677078252031306e-06,0.0020452399702596546
0.0003041,-0.0006666666666666666,1.0677078252031342e-06,0.0028284271247461905
0.00030769999999999994,0.0035555555555555557,1.0677078252031268e-06,0.0027055981663780923
0.0003113,0.0071111111111111115,1.0677078252031332e-06,0.002193275522213265
0.0003149,0.010444444444444444,1.0677078252031306e-06,0.002430739955656743
0.0003185,0.016,1.0677078252031306e-06,0.0027439773622801415
0.0003221,0.018222222222222226,1.0677078252031332e-06,0.0020452399702596546
0.0003257,0.020444444444444446,1.0677078252031268e-06,0.0018856180831641268
0.0003293,0.02288888888888889,1.0677078252031342e-06,0.0022980525998405666
0.0003329,0.022222222222222223,1.0677078252031357e-06,0.0020452399702596546
0.0003365,0.024000000000000004,1.067707825203128e-06,0.0013719886811400708
0.0003401,0.024222222222222225,1.067707825203133e-06,0.0025565499628245683
0.0003437,0.023111111111111114,1.067707825203128e-06,0.0025870466670542182
0.0003473,0.021333333333333333,1.0677078252031342e-06,0.001940285000290664
0.0003509,0.02022222222222222,1.0677078252031342e-06,0.0009428090415820634
0.0003545,0.01777777777777778,1.0677078252031268e-06,0.0020452399702596546
0.00035810000000000003,0.016222222222222225,1.0677078252031332e-06,0.002157219221878442
0.0003617,0.01288888888888889,1.0677078252031326e-06,0.0017111705277859943
0.0003653,0.008444444444444445,1.0677078252031306e-06,0.00233193235252055
0.0003689,0.004666666666666667,1.0677078252031332e-06,0.0024733877696033694
0.0003725,0.0017777777777777779,1.0677078252031268e-06,0.0020452399702596546
0.0003761,-0.002,1.0677078252031342e-06,0.002057983021710106
0.00037969999999999996,-0.004444444444444445,1.0677078252031306e-06,0.0027055981663780928
0.0003833,-0.008222222222222223,1.067707825203128e-06,0.0016647047275914607
0.0003869,-0.010444444444444444,1.067707825203133e-06,0.002430739955656743
0.0003905,-0.013111111111111113,1.0677078252031309e-06,0.001843554395849907
0.0003941,-0.01577777777777778,1.0677078252031342e-06,0.0009428090415820634
0.0003977,-0.01666666666666667,1.0677078252031342e-06,0.001533929977694741
0.0004013,-0.018000000000000002,1.0677078252031268e-06,0.002057983021710106
0.0004049,-0.019777777777777783,1.0677078252031332e-06,0.0009428090415820634
0.0004083,-0.019500000000000003,9.521904571390443e-07,0.002
